id,name,fullName,insCode,stockType,instrumentId,cisin,lSecVal,cSecVal,created_date,cSecValReal,Holding
1622,پاسا2,ایران‌یاساتایرورابر,3.89E+16,300,IRO1YASA0002,IRO1YASA0008,لاستيك و پلاستيك,25,2023-08-31T05:43:11.328Z,25,0
1624,قرن,پدیده شیمی قرن,3.96E+16,300,IRO1GARN0001,IRO1GARN0006,محصولات شيميايي,44,2023-08-31T05:43:11.471Z,44,0
1626,کیمیاتک,آریان کیمیا تک,3.99E+16,300,IRO1KTEK0001,IRO1KTEK0007,محصولات شيميايي,44,2023-08-31T05:43:11.644Z,44,0
1630,وکغدیر,بین المللی توسعه ص. معادن غدیر,4.06E+16,300,IRO1TMGD0001,IRO1TMGD0002,شركتهاي چند رشته اي صنعتي,39,2023-08-31T05:43:11.913Z,39,0
716,وامیر,گروه صنعتی و معدنی امیر,6.72E+16,309,IRO7AIMP0001,IRO7AIMP0001,استخراج كانه هاي فلزي,13,2023-08-31T05:42:06.396Z,13,0
720,رافزا,رایان هم افزا,6.89E+16,303,IRO3RYHZ0001,IRO3RYHZ0001,رايانه و فعاليت‌هاي وابسته به آن,72,2023-08-31T05:42:06.664Z,72,0
724,وآیند,بانک  آینده,4.68E+16,309,IRO7AYNP0001,IRO7AYNP0000,بانكها و موسسات اعتباري,57,2023-08-31T05:42:06.975Z,57,0
726,فلامی,لامیران‌,2.53E+16,300,IRO1LAMI0001,IRO1LAMI0001,ساخت محصولات فلزي,28,2023-08-31T05:42:07.148Z,28,0
736,قشیر,قند شیروان قوچان و بجنورد,7.15E+16,303,IRO3GHSZ0001,IRO3GHSZ0002,قند و شكر,38,2023-08-31T05:42:07.841Z,38,0
738,ساوه,سیمان ساوه,3.23E+16,303,IRO3SACZ0001,IRO3SACZ0003,"سيمان، آهك و گچ",53,2023-08-31T05:42:08.012Z,53,0
740,خبنیان,بنیان دیزل,3.71E+16,309,IRO7BDZP0001,IRO7BDZP0000,خودرو و ساخت قطعات,34,2023-08-31T05:42:08.157Z,34,0
748,تیپیکو,سرمایه گذاری دارویی تامین,2.98E+16,300,IRO1DTIP0001,IRO1DTIP0007,مواد و محصولات دارويي,43,2023-08-31T05:42:08.687Z,43,0
749,وکبهمن,مدیریت سرمایه گذاری کوثربهمن,6.50E+16,303,IRO3KBIZ0001,IRO3KBIZ0004,سرمايه گذاريها,56,2023-08-31T05:42:08.772Z,56,0
752,کارام,صنایع سرام آرا,6.99E+16,309,IRO7CEIP0001,IRO7CEIP0009,كاشي و سراميك,49,2023-08-31T05:42:08.942Z,49,0
753,اسیاتک,انتقال داده های آسیاتک,1.41E+16,300,IRO1ASTC0001,IRO1ASTC0003,اطلاعات و ارتباطات,73,2023-08-31T05:42:09.001Z,73,0
754,ثامید,توسعه و عمران امید,1.86E+16,300,IRO1TOOM0001,IRO1TOOM0009,"انبوه سازي، املاك و مستغلات",70,2023-08-31T05:42:09.071Z,70,0
755,خودرو2,ایران‌ خودرو,3.46E+16,300,IRO1IKCO0002,IRO1IKCO0008,خودرو و ساخت قطعات,34,2023-08-31T05:42:09.134Z,34,0
756,ولتجار,واسپاری تجارت وسرمایه ایرانیان,3.46E+16,309,IRO7GSIP0001,IRO7GSIP0009,ساير واسطه گريهاي مالي,58,2023-08-31T05:42:09.190Z,58,0
757,باران,بیمه زندگی باران,2.69E+16,309,IRO7BLIP0001,IRO7BLIP0001,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,66,2023-08-31T05:42:09.249Z,66,0
758,کاما,باما,4.94E+15,300,IRO1BAMA0001,IRO1BAMA0001,استخراج كانه هاي فلزي,13,2023-08-31T05:42:09.373Z,13,0
760,فافق,صنایع مس افق کرمان,2.24E+16,309,IRO7OKCZ0001,IRO7OKCZ0001,فلزات اساسي,27,2023-08-31T05:42:09.488Z,27,0
761,سایرا,ایرانیت‌,6.26E+16,309,IRO7IRNP0001,IRO7IRNP0001,ساير محصولات كاني غيرفلزي,54,2023-08-31T05:42:09.559Z,54,0
766,فکمند,گسترش قطعه سازی کمند,7.03E+16,309,IRO7KPMP0001,IRO7KPMP0000,ساخت محصولات فلزي,28,2023-08-31T05:42:09.890Z,28,0
767,وگردش,بانک گردشگری,7.92E+15,309,IRO7GRDZ0001,IRO7GRDZ0003,بانكها و موسسات اعتباري,57,2023-08-31T05:42:09.944Z,57,0
769,فاذر,صنایع‌ آذرآب‌,3.85E+16,300,IRO1AZAB0001,IRO1AZAB0006,ساخت محصولات فلزي,28,2023-08-31T05:42:10.098Z,28,0
770,فروسیل,فروسیلیسیم خمین,4.48E+16,303,IRO3FERZ0001,IRO3FERZ0007,فلزات اساسي,27,2023-08-31T05:42:10.189Z,27,0
773,بمپنا,تولید برق عسلویه  مپنا,3.98E+16,303,IRO3BMAZ0001,IRO3BMAZ0000,"عرضه برق، گاز، بخاروآب گرم",40,2023-08-31T05:42:10.393Z,40,0
777,شبصیر,تولیدات پتروشیمی قائد بصیر,6.85E+16,303,IRO3BSRZ0001,IRO3BSRZ0005,محصولات شيميايي,44,2023-08-31T05:42:10.646Z,44,0
783,بزاگرس,نیروگاه زاگرس کوثر,2.99E+16,303,IRO3ZKPZ0001,IRO3ZKPZ0007,"عرضه برق، گاز، بخاروآب گرم",40,2023-08-31T05:42:11.040Z,40,0
789,ولقمان,سرمایه گذاری لقمان,3.20E+16,309,IRO7LOIP0001,IRO7LOIP0006,سرمايه گذاريها,56,2023-08-31T05:42:11.428Z,56,0
793,سبجنو,سیمان‌ بجنورد,6.63E+16,300,IRO1SBOJ0001,IRO1SBOJ0000,"سيمان، آهك و گچ",53,2023-08-31T05:42:11.683Z,53,0
795,ثجنوب,سرمایه گذاری مسکن جنوب,6.09E+16,303,IRO3MSJZ0001,IRO3MSJZ0002,"انبوه سازي، املاك و مستغلات",70,2023-08-31T05:42:11.821Z,70,0
803,دفرا,فرآورده‌های تزریقی ایران‌,1.83E+16,300,IRO1FTIR0001,IRO1FTIR0003,مواد و محصولات دارويي,43,2023-08-31T05:42:12.356Z,43,0
805,میهن,بیمه میهن,2.65E+16,303,IRO3MIHZ0001,IRO3MIHZ0006,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,66,2023-08-31T05:42:12.483Z,66,0
807,خپارس,پارس خودرو,2.52E+16,309,IRO7PKOD0001,IRO7PKOD0002,خودرو و ساخت قطعات,34,2023-08-31T05:42:12.654Z,34,0
809,پترول,گ.س.وت.ص.پتروشیمی خلیج فارس,6.91E+16,300,IRO1IPTR0001,IRO1IPTR0001,محصولات شيميايي,44,2023-08-31T05:42:12.795Z,44,0
821,اعتلا,شرکت سرمایه گذاری اعتلاء البرز,3.68E+16,303,IRO3ETLZ0001,IRO3ETLZ0007,سرمايه گذاريها,56,2023-08-31T05:42:13.631Z,56,0
827,ولملت,واسپاری ملت,1.14E+16,300,IRO1VLMT0001,IRO1VLMT0003,ساير واسطه گريهاي مالي,58,2023-08-31T05:42:14.083Z,58,0
835,وبصادر2,بانک صادرات ایران,1.94E+16,300,IRO1BSDR0002,IRO1BSDR0003,بانكها و موسسات اعتباري,57,2023-08-31T05:42:14.670Z,57,0
837,سکرما,سیمان‌ کرمان‌,1.55E+16,300,IRO1SKER0001,IRO1SKER0001,"سيمان، آهك و گچ",53,2023-08-31T05:42:14.782Z,53,0
839,توریل,توکاریل,3.74E+16,303,IRO3TORZ0001,IRO3TORZ0009,"حمل ونقل، انبارداري و ارتباطات",60,2023-08-31T05:42:14.923Z,60,0
841,سهگمت,سیمان‌هگمتان‌,4.13E+16,300,IRO1SHGN0001,IRO1SHGN0008,"سيمان، آهك و گچ",53,2023-08-31T05:42:15.037Z,53,0
847,ثمسکن,سرمایه‌گذاری مسکن‌,3.86E+15,300,IRO1MSKN0001,IRO1MSKN0005,"انبوه سازي، املاك و مستغلات",70,2023-08-31T05:42:15.485Z,70,0
849,ثتوسا,س.توسعه و عمران استان اردبیل,4.77E+16,309,IRO7CTSP0001,IRO7CTSP0000,"انبوه سازي، املاك و مستغلات",70,2023-08-31T05:42:15.634Z,70,0
851,وتوشه,سرمایه‌ گذاری پارس‌ توشه‌,5.47E+16,300,IRO1TSHE0001,IRO1TSHE0004,ماشين آلات و تجهيزات,29,2023-08-31T05:42:15.749Z,29,0
853,خکار,ایرکا پارت صنعت,5.92E+16,300,IRO1KRIR0001,IRO1KRIR0008,خودرو و ساخت قطعات,34,2023-08-31T05:42:15.899Z,34,0
855,خساپا2,سایپا,6.44E+16,300,IRO1SIPA0002,IRO1SIPA0001,خودرو و ساخت قطعات,34,2023-08-31T05:42:16.042Z,34,0
857,وبیمه,سرمایه‌ گذاری صنعت‌ بیمه‌,1.18E+16,300,IRO1BIME0001,IRO1BIME0009,سرمايه گذاريها,56,2023-08-31T05:42:16.189Z,56,0
778,حتوکا,حمل‌ونقل‌توکا,2.23E+16,300,IRO1HTOK0001,IRO1HTOK0000,"حمل ونقل، انبارداري و ارتباطات",60,2023-08-31T05:42:10.712Z,60,0
796,ومعلم,بیمه معلم,6.85E+15,303,IRO3MOIZ0001,IRO3MOIZ0007,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,66,2023-08-31T05:42:11.895Z,66,0
798,قجام,فرآوردههای غذایی وقندتربت‌جام‌,2.82E+16,309,IRO7GTOP0001,IRO7GTOP0000,قند و شكر,38,2023-08-31T05:42:12.015Z,38,0
800,خاهن,آهنگری تراکتورسازی ایران‌,7.48E+15,300,IRO1ATIR0001,IRO1ATIR0008,خودرو و ساخت قطعات,34,2023-08-31T05:42:12.169Z,34,0
804,وپست,پست بانک ایران,2.21E+16,300,IRO1BPST0001,IRO1BPST0007,بانكها و موسسات اعتباري,57,2023-08-31T05:42:12.423Z,57,0
